class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
p,3.91,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
p,3.85,o,s,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,3.04,o,t,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,4.81,o,t,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,4.66,o,t,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,5.65,o,t,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
p,3.85,o,s,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,3.04,o,t,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,5.65,o,t,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
p,4.32,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
p,4.27,o,t,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
p,3.7,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
p,3.91,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,a
p,4.38,o,t,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,4.89,o,s,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,3.83,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,3.83,o,t,n,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,4.87,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,4.87,o,s,w,f,,c,w,0.0,0.0,f,f,f,,,f,f,n,d,u
p,4.41,o,s,g,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,s
p,3.95,o,s,r,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,u
p,3.7,o,s,g,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,s
p,3.97,o,s,o,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,u
p,4.41,o,s,g,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,s
p,3.9,o,s,g,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,s
p,3.86,o,s,r,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,u
p,4.18,o,s,y,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,s
p,3.96,o,s,r,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,a
p,4.64,o,s,o,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,w
p,3.86,o,s,r,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,u
p,4.18,o,s,y,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,s
p,3.97,o,s,g,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,a
p,4.72,o,s,n,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,u
p,3.9,o,s,g,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,s
p,3.96,o,s,r,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,a
p,3.95,o,s,r,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,u
p,3.7,o,s,g,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,s
p,3.97,o,s,o,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,u
p,4.64,o,s,o,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,w
p,4.64,o,s,o,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,w
p,3.97,o,s,g,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,a
p,4.72,o,s,n,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,u
p,3.11,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,3.31,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.07,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,3.72,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,2.73,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,2.99,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.25,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.05,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.29,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,2.87,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.18,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.9,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.27,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.06,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,2.95,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.12,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.91,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,2.71,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.18,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,3.39,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.9,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.88,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.39,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.99,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.05,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,2.94,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.42,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.13,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,2.99,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,3.03,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.07,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,3.15,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.87,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.13,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,3.13,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.17,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,2.86,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.15,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.05,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.6,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.99,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.27,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,2.77,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,2.93,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.18,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.36,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,2.91,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,2.98,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.13,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.25,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.17,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.99,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.11,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,2.43,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.88,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,2.99,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,2.43,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.7,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.18,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.16,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,2.76,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.88,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,2.95,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,3.11,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.16,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.05,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,2.99,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,2.88,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.72,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.47,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.47,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.14,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.69,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.23,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,3.04,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,2.66,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,3.56,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.04,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,2.7,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.06,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,2.44,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.11,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.47,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.82,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,2.71,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,2.95,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,3.56,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.29,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.15,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,2.98,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,3.11,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,3.04,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,2.99,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,3.17,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.98,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,3.23,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,2.53,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.26,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,2.66,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,2.74,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.12,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.6,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.93,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.98,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,2.75,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,2.98,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.93,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,3.23,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,2.53,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.25,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.26,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.36,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,2.77,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,2.74,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,2.98,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.83,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.05,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,2.93,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,2.73,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,3.06,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.12,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.92,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.15,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.16,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,2.98,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.25,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.18,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,2.95,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.36,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,2.98,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,2.75,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.03,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,2.86,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.04,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,2.69,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.99,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.98,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.23,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.17,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.04,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.21,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.47,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.11,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,2.92,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.14,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.22,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,3.06,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,2.9,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.42,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.47,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.15,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,2.76,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.99,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.13,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,2.97,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.21,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.03,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,2.93,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,3.31,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.2,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.44,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.3,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,2.82,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.13,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,3.23,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,2.45,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.2,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.03,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,2.97,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.45,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.05,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.22,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
p,3.36,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.16,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.16,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,3.13,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.21,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.6,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.76,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,3.06,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,s
p,2.94,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.3,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.13,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,w
p,2.83,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,u
p,3.18,o,l,g,f,f,f,f,0.0,0.0,f,f,f,,,f,f,,d,a
